Generator,Watermark_Alpha,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
alpha,0.1,3.4797,2.9215,3.9891,2.7693,2.122
alpha,0.2,3.5367,2.9599,3.9844,2.7502,2.17
alpha,0.3,3.5329,2.9709,3.9726,2.7861,2.1489
alpha,0.4,3.4954,2.9452,3.9802,2.795,2.1468
alpha,0.5,3.5084,2.9531,3.9751,2.7633,2.1637
alpha,0.6,3.4944,2.9473,3.9806,2.7464,2.1506
alpha,0.7,3.513,2.9874,3.9887,2.7739,2.1549
alpha,0.8,3.4911,2.9448,3.9958,2.765,2.1245
alpha,0.9,3.5017,2.9435,3.9794,2.7519,2.127
alpha,1.0,3.5356,2.9751,3.981,2.7804,2.1757
hunyuan,0.1,3.4607,2.9397,3.9815,2.7506,2.1447
hunyuan,0.2,3.4583,2.9435,3.9891,2.7992,2.1798
hunyuan,0.3,3.4666,2.9701,3.9743,2.7827,2.1629
hunyuan,0.4,3.4616,2.9286,3.9844,2.7663,2.1426
hunyuan,0.5,3.478,2.9198,3.9962,2.7274,2.1249
hunyuan,0.6,3.4316,2.9261,3.9662,2.7443,2.1157
hunyuan,0.7,3.4616,2.9342,3.9802,2.7861,2.1709
hunyuan,0.8,3.3911,2.9409,3.9671,2.6886,2.0937
hunyuan,0.9,3.438,2.9105,3.9793,2.7085,2.108
hunyuan,1.0,3.4561,2.9426,3.9861,2.7462,2.1302
pika,0.1,3.5389,3.0077,4.0038,2.8453,2.1979
pika,0.2,3.5508,2.9825,3.9962,2.8257,2.1813
pika,0.3,3.5077,2.9577,4.0068,2.7688,2.1432
pika,0.4,3.5346,2.9688,4.0039,2.833,2.191
pika,0.5,3.4898,2.9448,3.9958,2.7791,2.1628
pika,0.6,3.5073,2.9782,3.9868,2.8119,2.159
pika,0.7,3.5166,2.9927,3.9979,2.8244,2.1816
pika,0.8,3.5026,2.9619,4.0047,2.8158,2.1705
pika,0.9,3.5222,2.9744,3.9983,2.8009,2.1432
pika,1.0,3.5209,2.9784,3.9996,2.8124,2.1602
ray2,0.1,3.4561,2.943,3.987,2.754,2.1346
ray2,0.2,3.443,2.9164,3.9806,2.7033,2.0818
ray2,0.3,3.4363,2.9376,3.9747,2.7375,2.1173
ray2,0.4,3.4194,2.9135,3.9861,2.7857,2.1422
ray2,0.5,3.3958,2.8882,3.9916,2.6839,2.0793
ray2,0.6,3.4241,2.9114,3.9857,2.6971,2.0958
ray2,0.7,3.4363,2.9257,3.9857,2.7342,2.1426
ray2,0.8,3.419,2.9127,3.9781,2.7008,2.0932
ray2,0.9,3.4131,2.8966,3.9738,2.7033,2.0878
ray2,1.0,3.4106,2.9287,3.9764,2.7536,2.1156
sora,0.1,3.553,3.0188,3.9927,2.8402,2.191
sora,0.2,3.5317,2.9854,4.0043,2.7923,2.1863
sora,0.3,3.538,3.0363,4.0035,2.7718,2.1765
sora,0.4,3.5261,3.0025,3.9872,2.7979,2.1636
sora,0.5,3.5043,2.9774,3.9851,2.8347,2.1765
sora,0.6,3.5256,2.9944,4.0056,2.8137,2.194
sora,0.7,3.5406,2.9863,4.0004,2.8124,2.1654
sora,0.8,3.5116,2.9577,3.9898,2.7902,2.138
sora,0.9,3.5497,2.9821,3.965,2.7923,2.179
sora,1.0,3.5263,2.9867,3.9911,2.8036,2.1908
