Generator,Watermark_Alpha,visual_quality_delta_vs_original,visual_quality_pct_vs_original,temporal_consistency_delta_vs_original,temporal_consistency_pct_vs_original,dynamic_degree_delta_vs_original,dynamic_degree_pct_vs_original,text_to_video_alignment_delta_vs_original,text_to_video_alignment_pct_vs_original,factual_consistency_delta_vs_original,factual_consistency_pct_vs_original
alpha,0.1,-0.0806,-2.2651,-0.0683,-2.2845,-0.0113,-0.2832,-0.0017,-0.0598,-0.0476,-2.1955
alpha,0.2,-0.0236,-0.6638,-0.0299,-1.0009,-0.016,-0.3996,-0.0207,-0.7478,0.0004,0.0187
alpha,0.3,-0.0274,-0.7694,-0.0189,-0.6334,-0.0278,-0.6952,0.0152,0.5491,-0.0207,-0.9528
alpha,0.4,-0.065,-1.8253,-0.0447,-1.4941,-0.0202,-0.5056,0.0241,0.868,-0.0228,-1.0519
alpha,0.5,-0.0519,-1.4591,-0.0367,-1.2269,-0.0253,-0.6325,-0.0076,-0.2755,-0.0059,-0.2719
alpha,0.6,-0.0659,-1.8509,-0.0426,-1.4234,-0.0198,-0.4949,-0.0245,-0.884,-0.019,-0.874
alpha,0.7,-0.0473,-1.329,-0.0025,-0.0826,-0.0117,-0.2936,0.003,0.1083,-0.0147,-0.678
alpha,0.8,-0.0692,-1.9437,-0.0451,-1.5072,-0.0046,-0.1158,-0.0059,-0.2143,-0.0451,-2.0805
alpha,0.9,-0.0586,-1.6472,-0.0463,-1.55,-0.0211,-0.5265,-0.0191,-0.6875,-0.0426,-1.9633
alpha,1.0,-0.0247,-0.6942,-0.0147,-0.4924,-0.0194,-0.4849,0.0094,0.341,0.0061,0.2827
hunyuan,0.1,-0.0186,-0.5352,-0.0329,-1.1059,0.0085,0.2135,-0.0544,-1.94,-0.0324,-1.4896
hunyuan,0.2,-0.0211,-0.6061,-0.029,-0.9769,0.016,0.4037,-0.0058,-0.2076,0.0026,0.1209
hunyuan,0.3,-0.0127,-0.3656,-0.0025,-0.0839,0.0013,0.0315,-0.0223,-0.7956,-0.0142,-0.6529
hunyuan,0.4,-0.0178,-0.5108,-0.0439,-1.4768,0.0114,0.2861,-0.0388,-1.3822,-0.0345,-1.5867
hunyuan,0.5,-0.0013,-0.0382,-0.0527,-1.7728,0.0232,0.5846,-0.0776,-2.7672,-0.0523,-2.4007
hunyuan,0.6,-0.0478,-1.3727,-0.0464,-1.5615,-0.0068,-0.1705,-0.0608,-2.1661,-0.0615,-2.8234
hunyuan,0.7,-0.0177,-0.5097,-0.0383,-1.2899,0.0072,0.1806,-0.0189,-0.6742,-0.0062,-0.2861
hunyuan,0.8,-0.0882,-2.5361,-0.0316,-1.0629,-0.0059,-0.1478,-0.1165,-4.1521,-0.0834,-3.8315
hunyuan,0.9,-0.0414,-1.1889,-0.062,-2.0858,0.0063,0.159,-0.0966,-3.4423,-0.0692,-3.1763
hunyuan,1.0,-0.0233,-0.6685,-0.03,-1.0082,0.0131,0.3293,-0.0588,-2.097,-0.047,-2.1582
pika,0.1,-0.0051,-0.1429,-0.006,-0.1999,0.0081,0.2028,-0.0256,-0.8918,-0.0127,-0.5753
pika,0.2,0.0069,0.1935,-0.0312,-1.0342,0.0005,0.0116,-0.0453,-1.5764,-0.0293,-1.3275
pika,0.3,-0.0363,-1.023,-0.056,-1.8586,0.0111,0.2779,-0.1022,-3.5582,-0.0674,-3.0477
pika,0.4,-0.0094,-0.2652,-0.0449,-1.4889,0.0082,0.2041,-0.0379,-1.3214,-0.0196,-0.8868
pika,0.5,-0.0542,-1.5291,-0.0688,-2.284,0.0,0.001,-0.0918,-3.1978,-0.0478,-2.1615
pika,0.6,-0.0367,-1.0353,-0.0355,-1.1767,-0.009,-0.2243,-0.059,-2.0555,-0.0516,-2.3349
pika,0.7,-0.0273,-0.7713,-0.0209,-0.6947,0.0021,0.0529,-0.0465,-1.6201,-0.029,-1.3113
pika,0.8,-0.0414,-1.1674,-0.0517,-1.7165,0.009,0.2249,-0.0551,-1.9198,-0.0401,-1.8135
pika,0.9,-0.0217,-0.6135,-0.0393,-1.3047,0.0026,0.0638,-0.07,-2.4396,-0.0674,-3.0482
pika,1.0,-0.023,-0.6501,-0.0352,-1.1695,0.0038,0.0961,-0.0585,-2.0379,-0.0504,-2.2784
ray2,0.1,-0.0132,-0.3805,-0.0179,-0.6062,-0.0109,-0.2718,-0.0232,-0.8357,-0.0189,-0.8791
ray2,0.2,-0.0263,-0.7574,-0.0446,-1.5048,-0.0172,-0.4311,-0.0738,-2.6589,-0.0717,-3.3302
