Generator,Watermark_Alpha,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
alpha,0.1,3.2,2.7,4.0,2.3,1.8
alpha,0.2,3.2,2.7,4.0,2.3,1.8
alpha,0.3,3.2,2.7,4.0,2.3,1.8
alpha,0.4,3.2,2.7,4.0,2.3,1.8
alpha,0.5,3.2,2.7,4.0,2.3,1.8
alpha,0.6,3.2,2.7,4.0,2.3,1.8
alpha,0.7,3.2,2.7,4.0,2.3,1.8
alpha,0.8,3.2,2.7,4.0,2.3,1.8
alpha,0.9,3.2,2.7,4.0,2.3,1.8
alpha,1.0,3.2,2.7,4.0,2.3,1.8
hunyuan,0.1,3.2,2.7,4.0,2.3,1.8
hunyuan,0.2,3.2,2.7,4.0,2.3,1.8
hunyuan,0.3,3.2,2.7,4.0,2.3,1.8
hunyuan,0.4,3.2,2.7,4.0,2.3,1.8
hunyuan,0.5,3.2,2.7,4.0,2.3,1.8
hunyuan,0.6,3.2,2.7,4.0,2.3,1.8
hunyuan,0.7,3.2,2.7,4.0,2.3,1.8
hunyuan,0.8,3.2,2.7,4.0,2.3,1.8
hunyuan,0.9,3.2,2.7,4.0,2.3,1.8
hunyuan,1.0,3.2,2.7,4.0,2.3,1.8
pika,0.1,3.2,2.7,4.0,2.3,1.8
pika,0.2,3.2,2.7,4.0,2.3,1.8
pika,0.3,3.2,2.7,4.0,2.3,1.8
pika,0.4,3.2,2.7,4.0,2.3,1.8
pika,0.5,3.2,2.7,4.0,2.3,1.8
pika,0.6,3.2,2.7,4.0,2.3,1.8
pika,0.7,3.2,2.7,4.0,2.3,1.8
pika,0.8,3.2,2.7,4.0,2.3,1.8
pika,0.9,3.2,2.7,4.0,2.3,1.8
pika,1.0,3.2,2.7,4.0,2.3,1.8
ray2,0.1,3.2,2.7,4.0,2.3,1.8
ray2,0.2,3.2,2.7,4.0,2.3,1.8
ray2,0.3,3.2,2.7,4.0,2.3,1.8
ray2,0.4,3.2,2.7,4.0,2.3,1.8
ray2,0.5,3.2,2.7,4.0,2.3,1.8
ray2,0.6,3.2,2.7,4.0,2.3,1.8
ray2,0.7,3.2,2.7,4.0,2.3,1.8
ray2,0.8,3.2,2.7,4.0,2.3,1.8
ray2,0.9,3.2,2.7,4.0,2.3,1.8
ray2,1.0,3.2,2.7,4.0,2.3,1.8
sora,0.1,3.2,2.7,4.0,2.3,1.8
sora,0.2,3.2,2.7,4.0,2.3,1.8
sora,0.3,3.2,2.7,4.0,2.3,1.8
sora,0.4,3.2,2.7,4.0,2.3,1.8
sora,0.5,3.2,2.7,4.0,2.3,1.8
sora,0.6,3.2,2.7,4.0,2.3,1.8
sora,0.7,3.2,2.7,4.0,2.3,1.8
sora,0.8,3.2,2.7,4.0,2.3,1.8
sora,0.9,3.2,2.7,4.0,2.3,1.8
sora,1.0,3.2,2.7,4.0,2.3,1.8
