Generator,Watermark_Alpha,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
alpha,0.1,2.8045,2.8927,2.7886,3.0254,2.7026
alpha,0.2,2.8142,2.8929,2.8112,3.0248,2.7127
alpha,0.3,2.8192,2.8943,2.8252,3.025,2.7226
alpha,0.4,2.8213,2.8927,2.8277,3.023,2.728
alpha,0.5,2.8204,2.8854,2.8307,3.0176,2.7267
alpha,0.6,2.8172,2.8818,2.8273,3.0132,2.7247
alpha,0.7,2.8136,2.8746,2.8196,3.0087,2.7207
alpha,0.8,2.8075,2.8671,2.8122,3.0045,2.7159
alpha,0.9,2.7978,2.8546,2.7996,2.9957,2.7054
alpha,1.0,2.8452,2.883,2.8627,2.9868,2.7555
hunyuan,0.1,3.1342,3.1694,3.3747,3.3874,3.0528
hunyuan,0.2,3.2046,3.2346,3.4349,3.4211,3.1286
hunyuan,0.3,3.2304,3.2576,3.4615,3.4324,3.1617
hunyuan,0.4,3.2533,3.2705,3.4871,3.44,3.1846
hunyuan,0.5,3.2481,3.2625,3.4876,3.4358,3.1817
hunyuan,0.6,3.2197,3.2255,3.466,3.4155,3.149
hunyuan,0.7,3.1866,3.1888,3.4413,3.3967,3.1175
hunyuan,0.8,3.1531,3.1505,3.4191,3.3818,3.0817
hunyuan,0.9,3.1078,3.0993,3.3872,3.3609,3.0339
hunyuan,1.0,3.2427,3.2271,3.4822,3.3873,3.1776
pika,0.1,2.5643,2.6691,2.7997,2.9334,2.5387
pika,0.2,2.5668,2.6643,2.8107,2.9298,2.54
pika,0.3,2.5704,2.6635,2.8218,2.9276,2.5489
pika,0.4,2.5713,2.6615,2.8223,2.9221,2.553
pika,0.5,2.573,2.655,2.8246,2.9158,2.5559
pika,0.6,2.5718,2.6515,2.8196,2.9112,2.5548
pika,0.7,2.5664,2.6429,2.8134,2.9037,2.5504
pika,0.8,2.5635,2.6357,2.8042,2.8977,2.5474
pika,0.9,2.5567,2.6269,2.7987,2.894,2.5413
pika,1.0,2.6213,2.6598,2.8626,2.8851,2.5933
ray2,0.1,2.9648,3.0186,3.1252,3.1713,2.9402
ray2,0.2,3.036,3.0778,3.2083,3.1993,3.0162
ray2,0.3,3.0568,3.0903,3.243,3.2067,3.0383
ray2,0.4,3.0598,3.0833,3.2581,3.2066,3.0406
ray2,0.5,3.043,3.0628,3.2505,3.1959,3.0256
ray2,0.6,3.0229,3.0348,3.2366,3.1813,3.0029
ray2,0.7,3.0009,3.0081,3.2205,3.1679,2.9803
ray2,0.8,2.9711,2.9745,3.1929,3.1529,2.9486
ray2,0.9,2.9413,2.9387,3.1751,3.1411,2.9162
ray2,1.0,3.0781,3.058,3.2974,3.1707,3.0577
sora,0.1,3.3661,3.3743,3.5387,3.5521,3.2183
sora,0.2,3.4889,3.4981,3.6448,3.6126,3.3609
sora,0.3,3.5298,3.5393,3.6841,3.6296,3.4133
sora,0.4,3.5503,3.5559,3.7037,3.637,3.4369
sora,0.5,3.5393,3.5436,3.6988,3.6292,3.4315
sora,0.6,3.5196,3.5173,3.6859,3.6203,3.4091
sora,0.7,3.4805,3.4715,3.6526,3.5975,3.3666
sora,0.8,3.4283,3.4155,3.6118,3.5725,3.3071
sora,0.9,3.3665,3.3458,3.5631,3.548,3.2391
sora,1.0,3.5182,3.5101,3.6745,3.5829,3.4257
