Generator,Watermark_Alpha,visual_quality_delta_vs_original,visual_quality_pct_vs_original,temporal_consistency_delta_vs_original,temporal_consistency_pct_vs_original,dynamic_degree_delta_vs_original,dynamic_degree_pct_vs_original,text_to_video_alignment_delta_vs_original,text_to_video_alignment_pct_vs_original,factual_consistency_delta_vs_original,factual_consistency_pct_vs_original
alpha,0.1,0.0372,1.3458,0.0232,0.8073,0.0734,2.702,0.0361,1.2085,0.0271,1.0115
alpha,0.2,0.047,1.6971,0.0234,0.8165,0.0959,3.5328,0.0355,1.1865,0.0372,1.3886
alpha,0.3,0.0519,1.8764,0.0248,0.8651,0.1099,4.0489,0.0357,1.195,0.0471,1.759
alpha,0.4,0.054,1.9528,0.0232,0.8081,0.1125,4.1416,0.0337,1.1276,0.0524,1.9596
alpha,0.5,0.0531,1.9203,0.0159,0.5549,0.1155,4.2535,0.0283,0.9473,0.0512,1.9128
alpha,0.6,0.0499,1.805,0.0123,0.4275,0.1121,4.1281,0.0239,0.7982,0.0491,1.8356
alpha,0.7,0.0463,1.6742,0.0051,0.1787,0.1043,3.8423,0.0194,0.6475,0.0451,1.6871
alpha,0.8,0.0402,1.4533,-0.0024,-0.0851,0.097,3.571,0.0152,0.5086,0.0404,1.5092
alpha,0.9,0.0306,1.1042,-0.0149,-0.5205,0.0843,3.1062,0.0064,0.2155,0.0298,1.1146
alpha,1.0,0.0779,2.8166,0.0135,0.4691,0.1474,5.4285,-0.0025,-0.083,0.0799,2.9862
hunyuan,0.1,0.2427,8.3933,0.2158,7.3076,0.2054,6.4819,0.1532,4.7374,0.2416,8.5931
hunyuan,0.2,0.313,10.8255,0.281,9.5147,0.2656,8.3794,0.187,5.7809,0.3174,11.2907
hunyuan,0.3,0.3389,11.719,0.3041,10.2943,0.2922,9.2181,0.1982,6.1292,0.3505,12.4691
hunyuan,0.4,0.3617,12.5101,0.3169,10.7297,0.3178,10.0281,0.2059,6.3652,0.3734,13.281
hunyuan,0.5,0.3566,12.3319,0.3089,10.4593,0.3183,10.0421,0.2016,6.2345,0.3705,13.1805
hunyuan,0.6,0.3281,11.3474,0.2719,9.2074,0.2967,9.3603,0.1813,5.6067,0.3378,12.0166
hunyuan,0.7,0.2951,10.2039,0.2352,7.9624,0.272,8.5831,0.1626,5.0274,0.3063,10.8972
hunyuan,0.8,0.2616,9.046,0.1969,6.6669,0.2498,7.8817,0.1476,4.5644,0.2705,9.6238
hunyuan,0.9,0.2163,7.4801,0.1457,4.9333,0.2179,6.8757,0.1268,3.9206,0.2227,7.9222
hunyuan,1.0,0.3512,12.1458,0.2735,9.2593,0.3129,9.8726,0.1531,4.7347,0.3664,13.0335
pika,0.1,0.0101,0.3965,-0.0039,-0.1458,0.0272,0.9799,0.0095,0.3245,0.0018,0.0713
