Generator,Watermark_Alpha,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
alpha,0.1,3.7537,3.7446,3.9885,3.8737,3.8414
alpha,0.2,3.7521,3.7457,3.9867,3.8665,3.8434
alpha,0.3,3.7478,3.745,3.9853,3.8633,3.8408
alpha,0.4,3.7457,3.745,3.9847,3.8657,3.8391
alpha,0.5,3.7513,3.7519,3.9865,3.8637,3.8454
alpha,0.6,3.7508,3.7533,3.9851,3.8679,3.8455
alpha,0.7,3.7468,3.7507,3.9827,3.8615,3.8434
alpha,0.8,3.752,3.7514,3.9839,3.8625,3.8473
alpha,0.9,3.7486,3.7524,3.9796,3.8624,3.8455
alpha,1.0,3.7606,3.7724,3.9921,3.8742,3.8463
hunyuan,0.1,3.7309,3.7846,4.0122,3.9271,3.8841
hunyuan,0.2,3.7328,3.7865,4.0126,3.931,3.8888
hunyuan,0.3,3.7286,3.7846,4.0083,3.9247,3.8845
hunyuan,0.4,3.7299,3.7836,4.0108,3.9244,3.888
hunyuan,0.5,3.7342,3.788,4.0129,3.9258,3.8897
hunyuan,0.6,3.7292,3.7853,4.0102,3.9257,3.8876
hunyuan,0.7,3.7343,3.7885,4.0119,3.9245,3.8918
hunyuan,0.8,3.7325,3.789,4.0092,3.9219,3.8884
hunyuan,0.9,3.7301,3.7906,4.0095,3.9206,3.8887
hunyuan,1.0,3.7554,3.8136,4.0146,3.9393,3.8963
pika,0.1,3.7092,3.693,3.9805,3.9373,3.8329
pika,0.2,3.7129,3.6953,3.98,3.9339,3.8324
pika,0.3,3.7151,3.7018,3.9815,3.9382,3.8394
pika,0.4,3.7191,3.7047,3.98,3.936,3.8403
pika,0.5,3.7106,3.6993,3.9784,3.9328,3.8346
pika,0.6,3.7077,3.6953,3.9772,3.9282,3.8334
pika,0.7,3.7147,3.7041,3.9766,3.935,3.8356
pika,0.8,3.7167,3.7027,3.9758,3.9322,3.8367
pika,0.9,3.717,3.7056,3.9803,3.9338,3.8409
pika,1.0,3.7356,3.7346,3.9951,3.9531,3.8519
ray2,0.1,3.7334,3.7683,4.0067,3.8893,3.8763
ray2,0.2,3.7367,3.7684,4.0049,3.888,3.8795
ray2,0.3,3.7354,3.7689,4.0051,3.8862,3.8814
ray2,0.4,3.7365,3.772,4.0022,3.8886,3.8812
ray2,0.5,3.7392,3.777,4.0058,3.892,3.8836
ray2,0.6,3.7375,3.7757,4.0042,3.8905,3.8808
ray2,0.7,3.7383,3.7736,3.9977,3.8839,3.8808
ray2,0.8,3.7397,3.7773,4.0025,3.8891,3.8815
ray2,0.9,3.7379,3.7797,4.0039,3.8825,3.8822
ray2,1.0,3.7637,3.8075,4.0123,3.9026,3.8958
sora,0.1,3.7395,3.7632,3.9849,3.9202,3.8383
sora,0.2,3.7355,3.7637,3.9816,3.9184,3.8422
sora,0.3,3.7407,3.7704,3.986,3.9209,3.8473
sora,0.4,3.7396,3.7681,3.981,3.917,3.844
sora,0.5,3.737,3.7676,3.978,3.9173,3.846
sora,0.6,3.7377,3.7684,3.9803,3.9142,3.8469
sora,0.7,3.7442,3.773,3.9801,3.9179,3.8499
sora,0.8,3.7386,3.7714,3.9806,3.9158,3.8481
sora,0.9,3.7425,3.7737,3.9791,3.9192,3.8479
sora,1.0,3.7578,3.7963,3.9917,3.9298,3.8537
