Generator,Watermark_Alpha,visual_quality_delta_vs_original,visual_quality_pct_vs_original,temporal_consistency_delta_vs_original,temporal_consistency_pct_vs_original,dynamic_degree_delta_vs_original,dynamic_degree_pct_vs_original,text_to_video_alignment_delta_vs_original,text_to_video_alignment_pct_vs_original,factual_consistency_delta_vs_original,factual_consistency_pct_vs_original
alpha,0.1,-0.0149,-0.3963,0.0057,0.1517,0.001,0.0257,0.0021,0.0549,0.0035,0.0914
alpha,0.2,-0.0165,-0.439,0.0068,0.1828,-0.0007,-0.0184,-0.0051,-0.1324,0.0056,0.1451
alpha,0.3,-0.0209,-0.5552,0.0061,0.1625,-0.0022,-0.054,-0.0083,-0.2151,0.0029,0.0762
alpha,0.4,-0.023,-0.611,0.0061,0.1639,-0.0028,-0.0692,-0.0059,-0.1524,0.0012,0.0313
alpha,0.5,-0.0174,-0.4625,0.013,0.3477,-0.0009,-0.0235,-0.0079,-0.2043,0.0075,0.1966
alpha,0.6,-0.0178,-0.4733,0.0144,0.3843,-0.0024,-0.0597,-0.0038,-0.0971,0.0077,0.2002
alpha,0.7,-0.0219,-0.5811,0.0118,0.3165,-0.0048,-0.1194,-0.0101,-0.2619,0.0056,0.1455
alpha,0.8,-0.0167,-0.4427,0.0125,0.3345,-0.0035,-0.0886,-0.0091,-0.2344,0.0094,0.2457
alpha,0.9,-0.0201,-0.5324,0.0135,0.3619,-0.0079,-0.1975,-0.0092,-0.2377,0.0077,0.1995
alpha,1.0,-0.0081,-0.2156,0.0335,0.8951,0.0046,0.1163,0.0026,0.0667,0.0085,0.2203
hunyuan,0.1,0.0046,0.1236,0.0065,0.1732,0.0029,0.0729,0.0006,0.0145,0.0088,0.2277
hunyuan,0.2,0.0065,0.1743,0.0084,0.2211,0.0033,0.0827,0.0045,0.1135,0.0136,0.3505
hunyuan,0.3,0.0022,0.0594,0.0065,0.1712,-0.001,-0.0243,-0.0019,-0.0477,0.0092,0.2384
hunyuan,0.4,0.0035,0.0948,0.0055,0.1447,0.0015,0.0382,-0.0022,-0.0548,0.0127,0.3276
hunyuan,0.5,0.0079,0.2113,0.0099,0.2623,0.0037,0.0925,-0.0007,-0.0187,0.0145,0.3734
hunyuan,0.6,0.0028,0.0758,0.0072,0.1893,0.0009,0.0227,-0.0009,-0.0232,0.0123,0.3172
hunyuan,0.7,0.0079,0.2133,0.0104,0.2744,0.0027,0.0663,-0.0021,-0.0535,0.0166,0.4279
hunyuan,0.8,0.0062,0.1654,0.0109,0.2875,-0.0001,-0.0022,-0.0047,-0.1199,0.0132,0.3394
hunyuan,0.9,0.0038,0.1019,0.0125,0.3304,0.0002,0.0054,-0.0059,-0.1509,0.0134,0.3469
hunyuan,1.0,0.0291,0.7796,0.0355,0.9386,0.0053,0.1332,0.0127,0.3245,0.021,0.5427
pika,0.1,-0.0044,-0.1181,0.007,0.1906,-0.0005,-0.0132,-0.004,-0.1008,0.0082,0.2139
pika,0.2,-0.0007,-0.018,0.0093,0.2518,-0.0011,-0.0267,-0.0073,-0.1861,0.0077,0.2015
pika,0.3,0.0016,0.0418,0.0158,0.4289,0.0004,0.0103,-0.0031,-0.0781,0.0147,0.3831
pika,0.4,0.0055,0.1484,0.0187,0.5071,-0.0011,-0.0274,-0.0053,-0.134,0.0156,0.4089
pika,0.5,-0.003,-0.0808,0.0134,0.3624,-0.0026,-0.0657,-0.0085,-0.2147,0.0099,0.2591
pika,0.6,-0.0058,-0.1574,0.0093,0.2518,-0.0038,-0.096,-0.0131,-0.3331,0.0087,0.2266
pika,0.7,0.0011,0.0304,0.0182,0.4925,-0.0045,-0.1127,-0.0063,-0.1591,0.0108,0.2836
pika,0.8,0.0031,0.0832,0.0168,0.4546,-0.0053,-0.133,-0.0091,-0.2313,0.012,0.3127
pika,0.9,0.0034,0.0922,0.0196,0.5329,-0.0008,-0.0196,-0.0075,-0.1906,0.0162,0.424
