Generator,Watermark_Alpha,visual_quality_mean,temporal_consistency_mean,dynamic_degree_mean,text_to_video_alignment_mean,factual_consistency_mean
alpha,0.1,2.9758,2.8923,2.7985,2.7902,2.8498
alpha,0.2,3.1011,3.003,2.9385,2.8532,2.9776
alpha,0.3,3.1355,3.033,2.9767,2.8684,3.0157
alpha,0.4,3.1542,3.0477,3.0018,2.8722,3.0373
alpha,0.5,3.1667,3.0547,3.0189,2.8795,3.0497
alpha,0.6,3.1591,3.0468,3.0108,2.8744,3.0445
alpha,0.7,3.1506,3.0398,3.0023,2.8675,3.039
alpha,0.8,3.1289,3.017,2.9793,2.8526,3.019
alpha,0.9,3.0965,2.9865,2.9454,2.8315,2.9887
alpha,1.0,3.2844,3.1626,3.1448,2.9142,3.1786
hunyuan,0.1,3.2889,3.1458,3.3427,3.1686,3.1275
hunyuan,0.2,3.462,3.3222,3.4807,3.2492,3.3234
hunyuan,0.3,3.5144,3.3721,3.5225,3.2775,3.3821
hunyuan,0.4,3.5274,3.3838,3.5365,3.2869,3.3957
hunyuan,0.5,3.5273,3.3815,3.5365,3.2783,3.3998
hunyuan,0.6,3.5049,3.3553,3.523,3.268,3.3717
hunyuan,0.7,3.4844,3.3357,3.5017,3.2586,3.3535
hunyuan,0.8,3.4612,3.3063,3.4881,3.2449,3.329
hunyuan,0.9,3.4501,3.2942,3.4842,3.2497,3.3167
hunyuan,1.0,3.5751,3.4219,3.5681,3.257,3.4511
pika,0.1,2.8584,2.7778,2.8237,2.7113,2.8019
pika,0.2,2.9905,2.8809,2.9541,2.7874,2.9273
pika,0.3,3.0432,2.9218,3.0139,2.812,2.9805
pika,0.4,3.0515,2.9257,3.0264,2.8099,2.9931
pika,0.5,3.0551,2.9253,3.0329,2.8124,2.9975
pika,0.6,3.0352,2.9083,3.0133,2.7955,2.9826
pika,0.7,3.0132,2.8877,2.9937,2.7804,2.9631
pika,0.8,2.9843,2.8578,2.9673,2.7579,2.9379
pika,0.9,2.9482,2.8271,2.934,2.7405,2.9075
pika,1.0,3.216,3.0675,3.1871,2.8717,3.1494
ray2,0.1,3.2788,3.1383,3.3166,3.0788,3.1612
ray2,0.2,3.4505,3.3052,3.4503,3.1506,3.3436
ray2,0.3,3.4642,3.3174,3.4683,3.154,3.3573
ray2,0.4,3.4527,3.3063,3.4606,3.1427,3.35
ray2,0.5,3.4424,3.2943,3.4556,3.1337,3.3411
ray2,0.6,3.4329,3.2849,3.4458,3.1264,3.3338
ray2,0.7,3.413,3.2605,3.4371,3.1159,3.3115
ray2,0.8,3.3986,3.2487,3.4223,3.1078,3.3031
ray2,0.9,3.3756,3.2212,3.4073,3.0977,3.2788
ray2,1.0,3.5223,3.365,3.5281,3.1444,3.421
sora,0.1,3.4406,3.2386,3.5676,3.4474,3.1885
sora,0.2,3.6511,3.4795,3.7257,3.5553,3.4514
sora,0.3,3.7524,3.592,3.7994,3.6062,3.5757
sora,0.4,3.7723,3.6152,3.8123,3.6106,3.6023
sora,0.5,3.7825,3.6248,3.8227,3.6179,3.6153
sora,0.6,3.7661,3.6065,3.8126,3.6146,3.5969
sora,0.7,3.7601,3.596,3.808,3.612,3.5883
sora,0.8,3.7104,3.5344,3.7679,3.5782,3.5268
sora,0.9,3.6794,3.4995,3.7441,3.5674,3.4967
sora,1.0,3.7992,3.6455,3.8128,3.5677,3.6458
