Generator,Watermark_Alpha,visual_quality_delta_vs_original,visual_quality_pct_vs_original,temporal_consistency_delta_vs_original,temporal_consistency_pct_vs_original,dynamic_degree_delta_vs_original,dynamic_degree_pct_vs_original,text_to_video_alignment_delta_vs_original,text_to_video_alignment_pct_vs_original,factual_consistency_delta_vs_original,factual_consistency_pct_vs_original
alpha,0.1,0.1796,6.4238,0.1203,4.3414,0.2674,10.5655,0.1361,5.1274,0.1429,5.2811
alpha,0.2,0.3049,10.9046,0.2311,8.3358,0.4075,16.0989,0.1991,7.5006,0.2708,10.0033
alpha,0.3,0.3394,12.1364,0.261,9.4167,0.4457,17.6087,0.2143,8.0729,0.3088,11.4095
alpha,0.4,0.358,12.8036,0.2758,9.9482,0.4708,18.6,0.2181,8.216,0.3305,12.2082
alpha,0.5,0.3706,13.2523,0.2828,10.2017,0.4879,19.2751,0.2254,8.4921,0.3428,12.666
alpha,0.6,0.363,12.9807,0.2749,9.9172,0.4798,18.957,0.2202,8.2976,0.3377,12.4743
alpha,0.7,0.3544,12.6737,0.2678,9.6619,0.4712,18.618,0.2134,8.0391,0.3322,12.2723
alpha,0.8,0.3327,11.8983,0.245,8.839,0.4483,17.7123,0.1985,7.4777,0.3122,11.5325
alpha,0.9,0.3004,10.7416,0.2145,7.7394,0.4143,16.3699,0.1774,6.6832,0.2819,10.4148
alpha,1.0,0.4882,17.4592,0.3906,14.0924,0.6137,24.2478,0.2601,9.7994,0.4717,17.4277
hunyuan,0.1,0.3444,11.6959,0.3274,11.6172,0.3079,10.1446,0.2079,7.0219,0.3603,13.0191
hunyuan,0.2,0.5174,17.5725,0.5038,17.8771,0.4459,14.6914,0.2884,9.7423,0.5562,20.0993
hunyuan,0.3,0.5698,19.3522,0.5537,19.6467,0.4876,16.0683,0.3168,10.6992,0.6149,22.2208
hunyuan,0.4,0.5828,19.7942,0.5654,20.0622,0.5017,16.5308,0.3262,11.016,0.6285,22.7135
hunyuan,0.5,0.5827,19.7903,0.5631,19.9804,0.5017,16.5317,0.3175,10.7252,0.6326,22.859
hunyuan,0.6,0.5604,19.0303,0.5369,19.0507,0.4881,16.0845,0.3073,10.3776,0.6045,21.8462
hunyuan,0.7,0.5398,18.333,0.5174,18.3564,0.4668,15.383,0.2979,10.0617,0.5862,21.1852
